ID,AlbumID,Album,Song,Disc,TrackNumber,Year,Yeahs,Minutes,Seconds,LengthInSeconds,YeahsPerSecond,IsGold,IsPlatinum,JamesHetfield,LarsUlrich,KirkHammett,CliffBurton,DaveMustaine,JasonNewstead,RobertTrujillo,LouReed,PlayedLive
137,13,Hardwired� to Self-Destruct,Hardwired,1,1,2016,0,3,11,191,0,0,0,1,1,0,0,0,0,0,0,89
138,13,Hardwired� to Self-Destruct,"Atlas, Rise!",1,2,2016,0,6,28,388,0,0,0,1,1,0,0,0,0,0,0,84
139,13,Hardwired� to Self-Destruct,Now That We're Dead,1,3,2016,0,6,59,419,0,0,0,1,1,0,0,0,0,0,0,73
140,13,Hardwired� to Self-Destruct,Moth Into The Flame,1,4,2016,0,5,50,350,0,0,0,1,1,0,0,0,0,0,0,87
141,13,Hardwired� to Self-Destruct,Dream No More,1,5,2016,0,6,29,389,0,0,0,1,1,0,0,0,0,0,0,16
142,13,Hardwired� to Self-Destruct,Halo On fire,1,6,2016,0,8,15,495,0,0,0,1,1,0,0,0,0,0,0,62
143,13,Hardwired� to Self-Destruct,Confusion,1,7,2016,0,6,41,401,0,0,0,1,1,0,0,0,0,0,0,18
144,13,Hardwired� to Self-Destruct,ManUNkind,1,8,2016,1,6,55,415,0.002409639,0,0,1,1,0,0,0,0,1,,2
145,13,Hardwired� to Self-Destruct,Here Comes Revenge,1,9,2016,0,7,17,437,0,0,0,1,1,0,0,0,0,0,0,0
146,13,Hardwired� to Self-Destruct,Am I Savage? ,1,10,2016,0,6,29,389,0,0,0,1,1,0,0,0,0,0,0,0
147,13,Hardwired� to Self-Destruct,Murder One,1,11,2016,0,5,45,345,0,0,0,1,1,0,0,0,0,0,0,0
148,13,Hardwired� to Self-Destruct,Spit Out The Bone,1,12,2016,0,7,9,429,0,0,0,1,1,0,0,0,0,0,0,18
149,14,Other,I Disappear,1,2,1999,2,4,26,266,0.007518797,0,0,1,1,0,0,0,0,0,0,92
150,15,Other,No Leaf Clover,1,8,1999,10,5,43,343,0.029154519,0,0,1,1,0,0,0,0,0,0,113
151,15,Other,Human,2,4,1999,0,4,19,259,0,0,0,1,1,0,0,0,0,0,0,4
